route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX25,GH_O5-Weekday,GH_O5-Weekday-054800_BX256_511,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928402,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-057900_BX256_502,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928393,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-060900_BX256_503,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928394,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-063900_BX238_615,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928398,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-066700_BX256_511,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928402,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-069700_BX238_623,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928393,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-072700_BX238_609,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928394,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-075200_BX256_507,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928398,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-077600_BX256_515,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928407,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-079900_BX238_607,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928402,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-081900_BX238_622,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928393,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-083500_BX256_505,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928409,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-085100_BX238_609,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928394,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-086700_BX256_508,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928410,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-088300_BX256_507,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928398,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-090300_BX256_515,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928407,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-092300_BX256_517,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928402,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-094300_BX238_622,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928393,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-096300_BX256_505,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928409,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-098400_BX256_520,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928394,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-100400_BX256_508,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928410,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-102400_BX30_572,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928398,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-104400_BX256_521,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928407,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-106400_BX256_514,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928402,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-108800_BX256_515,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928393,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-111600_BX238_646,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928394,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-114600_BX256_520,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928398,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-117600_BX256_521,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928407,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-120600_BX256_515,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928393,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-123700_BX238_646,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928394,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-126700_BX256_520,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928398,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-129700_BX238_640,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928407,BX250257
BX26,GH_O5-Weekday,GH_O5-Weekday-038000_BX238_608,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928392,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-040700_BX256_504,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928395,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-042700_BX256_506,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928397,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-044600_BX238_616,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928399,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-046200_BX256_509,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928401,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-047800_BX256_512,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928403,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-049400_BX238_608,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928392,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-051000_BX238_628,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928405,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-052600_BX256_504,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928395,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-054200_BX256_506,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928397,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-055800_BX238_616,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928399,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-057400_BX256_509,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928401,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-059600_BX256_512,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928403,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-062500_BX238_628,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928405,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-065500_BX256_501,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928397,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-068500_BX256_509,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928401,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-071500_BX30_558,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928403,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-074500_BX256_510,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928405,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-077500_BX256_501,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928397,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-080200_BX238_614,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928401,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-082600_BX30_558,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928403,BX260292
BX26,GH_O5-Weekday,GH_O5-Weekday-085000_BX256_510,CO-OP CITY EARHART LANE via ALLERTON AV,0,37928405,BX260292
