route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SIM3C,CA_D5-Weekday,CA_D5-Weekday-131500_MISC_377,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310975,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-123500_MISC_386,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310974,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-139500_MISC_381,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310972,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-123000_SIM3_178,MIDTOWN via CHURCH ST via 6 AV,0,38310976,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-135500_SIM3_178,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310976,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-127500_MISC_384,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310977,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-129000_MISC_379,MIDTOWN via CHURCH ST via 6 AV,0,38310978,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-137500_MISC_379,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310978,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-135000_SIM3_179,MIDTOWN via CHURCH ST via 6 AV,0,38310980,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-143500_SIM3_179,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310980,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-145500_MISC_384,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310977,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-151500_MISC_394,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310979,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-129500_MISC_360,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310973,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-099000_SIM3_179,MIDTOWN via CHURCH ST via 6 AV,0,38310968,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-081500_MISC_294,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310982,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-133500_MISC_394,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310979,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-141500_MISC_386,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310974,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-105000_MISC_341,MIDTOWN via CHURCH ST via 6 AV,0,38310970,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-083500_SIM3_174,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310958,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-060000_MISC_299,MIDTOWN via CHURCH ST via 6 AV,0,38310955,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-075000_MISC_291,MIDTOWN via CHURCH ST via 6 AV,0,38310960,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-078000_MISC_311,MIDTOWN via CHURCH ST via 6 AV,0,38310961,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-081000_MISC_309,MIDTOWN via CHURCH ST via 6 AV,0,38310962,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-096000_MISC_322,MIDTOWN via CHURCH ST via 6 AV,0,38310965,SIM3C0084
SIM3,CA_D5-Weekday,CA_D5-Weekday-089500_MISC_291,PORT RICHMOND via WATCHOGUE RD,1,38310960,SIM30118
SIM3C,CA_D5-Weekday,CA_D5-Weekday-108000_SIM3_177,MIDTOWN via CHURCH ST via 6 AV,0,38311112,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-125500_MISC_361,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38311113,SIM3C0087
SIM35,CA_D5-Weekday,CA_D5-Weekday-031500_MISC_247,DOWNTOWN FRANKFORT ST via WATER ST,0,38311323,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-037500_MISC_284,DOWNTOWN FRANKFORT ST via WATER ST,0,38311324,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-043600_MISC_247,DOWNTOWN FRANKFORT ST via WATER ST,0,38311323,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-107000_MISC_347,PORT RICHMOND via CLOVE RD,1,38311236,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-046000_MISC_333,DOWNTOWN FRANKFORT ST via WATER ST,0,38311329,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-098500_SIM35_117,PORT RICHMOND via CLOVE RD,1,38311325,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-050800_MISC_337,DOWNTOWN FRANKFORT ST via WATER ST,0,38311322,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-044800_MISC_330,DOWNTOWN FRANKFORT ST via WATER ST,0,38311328,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-102500_MISC_302,PORT RICHMOND via CLOVE RD,1,38311326,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-111500_SIM35_117,PORT RICHMOND via CLOVE RD,1,38311325,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-114500_MISC_302,PORT RICHMOND via CLOVE RD,1,38311326,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-049600_MISC_284,DOWNTOWN FRANKFORT ST via WATER ST,0,38311324,SIM350160
