service_id,date,exception_type
SIR-FA2017-SI017-Weekday-08,20260119,2
SIR-FA2017-SI017-Weekday-08,20260216,2
SIR-FA2017-SI017-Weekday-08_C20,20251127,2
SIR-FA2017-SI017-Weekday-08_C20,20251223,2
SIR-FA2017-SI017-Weekday-08_C20,20251224,2
SIR-FA2017-SI017-Weekday-08_C20,20251225,2
SIR-FA2017-SI017-Weekday-08_C20,20251226,2
SIR-FA2017-SI017-Weekday-08_C20,20260101,2
SIR-FA2017-SI017-Weekday-08_C20,20260119,2
SIR-FA2017-SI017-Weekday-08_C20,20260216,2
SIR-FA2017-SI017-Weekday-08_C21,20251127,2
SIR-FA2017-SI017-Weekday-08_C21,20251223,2
SIR-FA2017-SI017-Weekday-08_C21,20251224,2
SIR-FA2017-SI017-Weekday-08_C21,20251225,2
SIR-FA2017-SI017-Weekday-08_C21,20260101,2
SIR-FA2017-SI017-Weekday-08_C21,20260119,2
SIR-FA2017-SI017-Weekday-08_C21,20260216,2
SIR-FA2017-SI017-Weekday-08_C69,20251127,2
SIR-FA2017-SI017-Weekday-08_C69,20251224,2
SIR-FA2017-SI017-Weekday-08_C69,20251225,2
SIR-FA2017-SI017-Weekday-08_C69,20251226,2
SIR-FA2017-SI017-Weekday-08_C69,20260101,2
SIR-FA2017-SI017-Weekday-08_C69,20260119,2
SIR-FA2017-SI017-Weekday-08_C69,20260216,2
SIR-FA2017-SI017-Weekday-08_C71,20251127,2
SIR-FA2017-SI017-Weekday-08_C71,20251224,2
SIR-FA2017-SI017-Weekday-08_C71,20251225,2
SIR-FA2017-SI017-Weekday-08_C71,20260101,2
SIR-FA2017-SI017-Weekday-08_C71,20260119,2
SIR-FA2017-SI017-Weekday-08_C71,20260216,2
